Status,Progress,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q9_1,Q9_2,Q9_3,Q10_1,Q10_2,Q10_3,Q11_1,Q11_2,Q11_3,Q12,Q13,Q14
0,100,1,15/11/2025 11:38,R_8QFBdLJNh3kolNG,,,,,anonymous,EN,1,1,6,3,6,1,2,4,4,5,5,5,4,3,2,5,1,2,4,3,4,2,4,2,2,4,4,3,-,-,-
0,100,1,19/11/2025 19:16,R_8KdwRGb8YcTrH5F,,,,,anonymous,EN,1,1,8,3,6,1,2,4,4,3,4,4,5,5,2,3,2,2,2,3,2,2,4,3,3,3,4,4,The verification of ai results,understanding system logs from Industrial ,more understanding of industrial inputs
0,100,1,19/11/2025 19:21,R_2mtlDuKet73UKEk,,,,,anonymous,EN,1,1,7,2,4,2,2,4,3,4,4,4,4,2,2,5,3,4,4,4,4,4,2,4,,4,4,5,,,
0,100,1,19/11/2025 19:27,R_8MQMYyKzfV0rwcw,,,,,anonymous,EN,1,1,2,3,1,3,1,5,4,4,4,5,5,5,4,4,5,2,4,5,5,5,5,5,5,5,5,5,NLP integration ,Deployment cost,balancing between AI deployment cost and benefits 
0,100,1,19/11/2025 19:32,R_2hzohry71DYcStS,,,,,anonymous,EN,1,1,9,3,3,1,1,4,4,4,3,3,3,3,4,4,4,1,4,4,4,3,3,3,3,4,4,4,stronger risk mitigation in the framework,feasibility study is needed,
0,100,1,19/11/2025 19:35,R_2kXodC1btJwGeB4,,,,,anonymous,EN,1,1,4,2,5,3,2,5,5,5,5,5,5,5,2,4,5,2,4,4,4,4,4,4,4,4,4,5,logs integration,robotics technologies are absent ,
0,100,1,20/11/2025 10:29,R_4Nk1jLugHK5xws1,,,,,anonymous,EN,1,1,6,2,1,2,2,3,5,5,5,5,5,4,3,3,4,2,3,5,4,4,4,4,2,5,4,4,,,
0,100,1,20/11/2025 10:32,R_4SOvfgHOPQjAZq1,,,,,anonymous,EN,1,1,1,2,5,1,1,4,4,4,4,4,4,5,4,3,4,2,4,4,4,5,4,4,5,4,5,4,,,
0,100,1,20/11/2025 10:34,R_9mwMpETEP5ab80D,,,,,anonymous,EN,1,1,2,2,4,3,2,4,4,4,5,5,4,4,4,4,4,4,5,4,5,4,4,5,4,4,,4,,,
0,100,1,20/11/2025 10:53,R_8L0cggSP3RLDoy6,,,,,anonymous,EN,1,1,1,2,1,3,2,4,4,4,4,4,4,4,4,4,4,2,4,5,4,4,5,4,4,5,4,4,,,
0,100,1,20/11/2025 10:55,R_2Oq3et7ZtJJVMtZ,,,,,anonymous,EN,1,1,1,2,5,2,2,5,5,5,5,5,5,5,5,5,5,3,5,4,4,4,4,4,4,4,4,4,,,
0,100,1,22/11/2025 17:36,R_2WYA7qdExe8QYgk,,,,,anonymous,EN,1,1,2,2,5,2,1,4,4,4,5,5,4,4,4,4,4,2,5,5,5,5,5,5,5,5,5,5,industrail integration,AI-based repotics frameworks are needed  ,
0,100,1,22/11/2025 17:38,R_8usar55FaQTdVjc,,,,,anonymous,EN,1,1,2,1,5,1,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,5,4,4,,,
0,100,1,22/11/2025 17:39,R_2QK3C8OJaWgyPDs,,,,,anonymous,EN,1,1,2,1,5,1,1,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,,,
0,100,1,22/11/2025 17:40,R_8RD034hVyJxpfnr,,,,,anonymous,EN,1,1,2,1,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,,,,4,4,4,4,4,4,,,
0,100,1,22/11/2025 17:41,R_9qCf0pp84ENgFDq,,,,,anonymous,EN,1,1,1,1,5,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,,,
0,100,1,22/11/2025 17:42,R_8QmjtU3H9ArBpUc,,,,,anonymous,EN,1,1,1,1,5,1,1,4,4,4,4,4,4,4,4,5,5,3,4,4,4,3,4,3,4,4,3,4,,,
0,100,1,22/11/2025 17:44,R_8Tvpi8tvWC0Un7x,,,,,anonymous,EN,1,1,1,4,5,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,
0,100,1,22/11/2025 17:45,R_8UatmqoSXmhjAIF,,,,,anonymous,EN,1,1,1,3,5,2,1,3,3,3,3,3,5,5,5,5,5,2,5,3,3,3,3,5,5,5,5,3,,,
0,100,1,22/11/2025 17:46,R_8Rna6j2iJMTu2w9,,,,,anonymous,EN,1,1,1,3,5,3,1,4,3,3,4,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,,,
0,100,1,22/11/2025 17:48,R_8YeOVWFbW7er1ev,,,,,anonymous,EN,1,1,1,3,5,2,1,4,3,4,3,4,4,4,4,4,3,3,3,3,4,4,4,4,3,4,4,3,,,
0,100,1,24/11/2025 11:46,R_2hG7F5hMOKmkgBP,,,,,anonymous,EN,1,1,1,1,5,3,1,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,,,
0,100,1,24/11/2025 11:48,R_4BkvMYNzWIK9U1L,,,,,anonymous,EN,1,1,1,2,5,2,1,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,4,,,
0,100,1,24/11/2025 11:52,R_4FOj10oV13iyQcb,,,,,anonymous,EN,1,1,1,2,5,1,2,4,4,3,4,4,4,4,3,4,4,2,,4,4,4,4,4,4,4,4,4,,,
0,100,1,24/11/2025 11:58,R_4KC4dGdQQ4p2uKQ,,,,,anonymous,EN,1,1,1,1,5,1,2,4,4,4,4,4,4,4,3,4,4,3,4,4,4,5,4,5,4,4,4,5,,,
0,100,1,24/11/2025 21:51,R_9dcULsPw7aEGuoH,,,,,anonymous,EN,1,1,1,1,2,1,1,4,4,4,5,3,4,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,,,
0,100,1,24/11/2025 21:52,R_4LhS7Ic4hg8IgxG,,,,,anonymous,EN,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,5,,,
0,100,1,24/11/2025 21:53,R_4dhth7jF2ckEbh6,,,,,anonymous,EN,1,1,1,1,5,1,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,,,
0,100,1,24/11/2025 21:55,R_9EMeK9cNSV44Vb3,,,,,anonymous,EN,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
0,100,1,24/11/2025 21:56,R_9gRAhmHKWIbcsMl,,,,,anonymous,EN,1,1,1,1,5,1,1,4,4,4,4,4,4,4,4,4,2,2,3,3,3,3,4,4,4,4,5,5,,,
0,100,1,24/11/2025 21:57,R_4mFebg6m1qoT4tI,,,,,anonymous,EN,1,1,1,1,5,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,,,
0,100,1,24/11/2025 21:58,R_4YJNdYx6CmLbWHL,,,,,anonymous,EN,1,1,1,2,5,2,2,5,5,5,5,5,5,5,5,5,5,2,5,4,4,4,5,5,5,5,5,5,,,
0,100,1,24/11/2025 22:00,R_4bI9VvkhyhBjvRE,,,,,anonymous,EN,1,1,1,1,5,2,2,5,5,5,4,5,5,4,5,5,5,3,4,3,3,3,3,3,3,3,3,3,,,
0,100,1,24/11/2025 22:01,R_9cpC4HN2gO2JLC5,,,,,anonymous,EN,1,1,1,2,5,2,1,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,,,
0,100,1,24/11/2025 22:02,R_4qXurrEoKYwxAjy,,,,,anonymous,EN,1,1,1,2,5,1,1,4,4,3,3,3,3,3,3,4,4,2,4,4,4,4,4,4,4,5,5,4,,,
0,100,1,24/11/2025 22:04,R_97jVallGd21iQZC,,,,,anonymous,EN,1,1,1,2,5,1,2,4,4,4,5,5,5,5,4,4,3,3,5,4,4,2,4,2,1,4,4,3,,,
0,100,1,24/11/2025 22:05,R_9GHsyWkcjUHo2wL,,,,,anonymous,EN,1,1,1,2,5,1,1,4,4,4,4,4,4,3,3,3,3,1,4,2,2,2,2,2,2,2,2,2,,,
0,100,1,24/11/2025 22:07,R_9f8bOSjSKWZXRMk,,,,,anonymous,EN,1,1,1,2,5,1,1,2,3,2,2,2,2,2,1,4,4,1,3,3,3,3,3,3,3,3,3,3,,,
0,100,1,24/11/2025 22:10,R_4oI4BK6kMOV46bF,,,,,anonymous,EN,1,1,1,1,5,1,2,4,4,4,5,5,4,4,4,5,2,1,4,4,4,4,4,4,4,4,4,4,,,
0,100,1,24/11/2025 22:12,R_4UiaafXVMXC728J,,,,,anonymous,EN,1,1,1,1,5,1,2,5,5,5,5,5,5,5,5,3,3,3,5,4,4,4,4,4,4,4,4,4,,,
0,100,1,24/11/2025 22:15,R_4Jqtx82Y7bJwmQQ,,,,,anonymous,EN,1,1,1,1,5,1,1,2,4,4,4,4,5,2,2,2,5,2,5,3,3,3,3,3,3,4,4,4,,,
0,100,1,24/11/2025 22:20,R_4ZHKONmyLV4uHci,,,,,anonymous,EN,1,1,1,2,5,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,,,
0,100,1,24/11/2025 22:25,R_40emconAR606HKI,,,,,anonymous,EN,1,1,1,1,5,1,1,3,3,3,3,3,3,2,2,5,2,2,5,3,3,3,3,3,3,3,3,3,,,
0,100,1,25/11/2025 10:58,R_42oc7x4wJXSSCdn,,,,,anonymous,EN,1,1,1,3,4,1,1,5,5,5,5,5,5,5,5,5,5,3,5,4,5,5,4,3,3,3,3,3,,,
0,100,1,25/11/2025 10:59,R_4nOdD6Ngv6MM1vB,,,,,anonymous,EN,1,1,1,2,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,,,
0,100,1,25/11/2025 11:00,R_9CTbUYKRFWUBdvO,,,,,anonymous,EN,1,1,1,1,5,1,2,4,4,4,4,4,4,4,4,4,4,1,5,3,3,3,3,3,3,3,3,3,,,
0,100,1,25/11/2025 11:01,R_26AkF5WxdbNFrZT,,,,,anonymous,EN,1,1,1,2,1,1,1,5,5,5,5,5,5,5,,5,5,3,5,4,4,4,4,4,4,4,4,4,,,
0,100,1,25/11/2025 11:02,R_8q3Qq6WbsDbgfsd,,,,,anonymous,EN,1,1,1,1,5,2,2,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,3,3,3,4,4,4,,,
0,100,1,25/11/2025 11:04,R_4U9s2mEbjC5hS2Q,,,,,anonymous,EN,1,1,1,1,5,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,5,5,5,,,
0,100,1,25/11/2025 11:06,R_4oZ8U87sIS9SOT2,,,,,anonymous,EN,1,1,1,2,5,1,2,4,4,4,4,4,4,4,3,3,3,2,4,4,4,3,4,4,3,4,4,4,,,
0,100,1,25/11/2025 11:07,R_44el3RJHjBqNE90,,,,,anonymous,EN,1,1,1,2,5,1,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,3,3,3,3,3,,,
0,100,1,25/11/2025 11:09,R_9JjHLJ3kHZnfrkR,,,,,anonymous,EN,1,1,1,2,5,1,2,5,5,5,4,5,4,4,3,3,3,3,3,3,3,3,4,3,3,4,3,3,,,
0,100,1,25/11/2025 11:10,R_4wjIb9Y7N4DL05E,,,,,anonymous,EN,1,1,1,2,5,1,2,4,4,4,4,4,4,4,2,3,3,2,3,3,3,4,4,3,4,4,3,4,,,
0,100,1,25/11/2025 11:13,R_9R1vT9ee5lEPJ6g,,,,,anonymous,EN,1,1,1,1,5,1,2,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,,,
0,100,1,25/11/2025 11:15,R_4UgDdT7ryzZCFzM,,,,,anonymous,EN,1,1,1,1,5,1,2,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,5,,,
0,100,1,25/11/2025 11:16,R_9Up8ugbkzte3VrX,,,,,anonymous,EN,1,1,1,1,5,1,2,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,,,
0,100,1,25/11/2025 11:17,R_8k0ogTfUpwSLjCE,,,,,anonymous,EN,1,1,1,2,5,1,2,4,4,4,4,4,4,4,2,3,3,2,4,4,4,3,4,3,3,4,4,4,,,
0,100,1,25/11/2025 11:19,R_93fdBgZ1vjspZgJ,,,,,anonymous,EN,1,1,1,2,5,1,2,4,4,3,4,4,4,4,2,3,4,2,,4,4,4,5,5,5,4,4,4,,,
0,100,1,25/11/2025 11:20,R_9M59k3M6UNJjeJe,,,,,anonymous,EN,1,1,1,2,5,1,2,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,,,
0,100,1,25/11/2025 11:22,R_9VEfSoGwP0jnO4i,,,,,anonymous,EN,1,1,1,2,5,1,2,4,4,4,4,4,4,4,3,4,4,3,4,4,3,3,3,3,3,3,3,3,,,
0,100,1,25/11/2025 11:23,R_936UFuIfW57o0bT,,,,,anonymous,EN,1,1,1,2,5,1,2,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,5,,,
0,100,1,25/11/2025 11:24,R_9LLS4fmMhm5dnwQ,,,,,anonymous,EN,1,1,1,2,5,1,2,4,4,4,4,4,4,4,3,4,4,3,4,3,3,3,3,3,3,3,3,3,,,
0,100,1,25/11/2025 11:26,R_4jZ4Q7k2iYcAvmu,,,,,anonymous,EN,1,1,1,2,5,1,2,4,4,4,5,5,5,5,2,4,4,2,4,4,4,4,4,4,4,3,3,3,,,
0,100,1,25/11/2025 11:27,R_4Eh7VFfuRmCFisN,,,,,anonymous,EN,1,1,1,2,5,1,2,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,3,3,,,
0,100,1,25/11/2025 11:29,R_4zv8NeDq3QVbGSo,,,,,anonymous,EN,1,1,1,2,5,1,2,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,3,3,,,
0,100,1,25/11/2025 11:31,R_4VwNW187w6W55nQ,,,,,anonymous,EN,1,1,1,3,1,2,1,4,4,5,5,5,5,5,2,5,5,2,4,5,5,5,5,5,5,4,4,4,,,
0,100,1,25/11/2025 11:32,R_4LAnTcWl5o02BcN,,,,,anonymous,EN,1,1,1,2,5,1,2,5,5,5,4,4,4,5,3,4,4,3,4,5,5,5,4,4,4,4,4,4,,,
0,100,1,25/11/2025 11:33,R_4dfOOx1RG8YGic7,,,,,anonymous,EN,1,1,1,2,5,1,2,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,,,
0,100,1,25/11/2025 11:35,R_96iEORI52iodZ3b,,,,,anonymous,EN,1,1,1,1,5,1,2,4,4,5,5,5,5,5,3,5,4,3,4,4,4,4,4,4,4,3,3,3,,,
0,100,1,25/11/2025 17:16,R_93yiJQ8AMQ0xBf1,,,,,anonymous,EN,1,1,6,3,1,2,2,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,ai based framework  for Industrial cti,more details of IoTs and IIoTs integration are needed,Examples for full framework implementation 
0,100,1,25/11/2025 17:20,R_9F9acyKe47LnuRP,,,,,anonymous,EN,1,1,4,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
0,100,1,25/11/2025 17:21,R_91YFM77TlHAP24Q,,,,,anonymous,EN,1,1,3,1,3,1,1,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,,,
0,100,1,25/11/2025 17:23,R_4aYakn6qnGCA1IB,,,,,anonymous,EN,1,1,8,2,5,1,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
0,100,1,25/11/2025 17:25,R_9uCykPczmF4Bpjc,,,,,anonymous,EN,1,1,9,2,6,2,2,4,4,4,4,4,4,5,3,5,3,3,5,4,4,5,4,4,4,5,5,5,,,
0,100,1,25/11/2025 17:26,R_9riS5WBTw0x5OKW,,,,,anonymous,EN,1,1,4,4,2,1,1,3,5,5,4,4,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,,,
0,100,1,01/12/2025 13:05,R_4zq1IzRnlLsKThX,,,,,anonymous,EN,1,1,1,3,5,2,2,5,5,5,5,5,5,5,3,5,5,3,5,5,5,5,5,5,1,5,5,5,,,
0,100,1,01/12/2025 13:06,R_9QF3Kr5FeuAXf79,,,,,anonymous,EN,1,1,1,3,5,3,2,5,5,5,5,5,5,5,3,5,5,2,5,5,5,5,5,5,3,5,5,5,,,
0,100,1,01/12/2025 13:08,R_90MuMMBlkAHe7DI,,,,,anonymous,EN,1,1,1,3,5,3,2,5,5,5,5,5,5,5,3,5,5,2,5,5,5,5,5,5,3,5,5,5,,,
0,100,1,01/12/2025 13:09,R_9oJKCKDi3UAk5Wh,,,,,anonymous,EN,1,1,1,3,5,3,2,5,5,5,5,5,5,5,2,5,5,1,5,5,5,5,5,5,3,5,5,5,,,
0,100,1,01/12/2025 13:11,R_94t44LioAEQLcLT,,,,,anonymous,EN,1,1,1,3,5,3,2,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,2,5,5,5,,,
0,100,1,01/12/2025 13:12,R_4Rabkb2nPnfg5d8,,,,,anonymous,EN,1,1,1,2,5,3,2,5,5,5,5,5,5,5,3,5,5,1,5,5,5,5,5,5,2,5,5,5,,,
0,100,1,01/12/2025 13:14,R_4DNL1Q0hcL7b8sM,,,,,anonymous,EN,1,1,1,4,5,3,2,5,5,5,5,5,5,5,3,5,5,2,5,5,5,5,5,5,2,5,5,5,,,
0,100,1,01/12/2025 13:16,R_4wvqXqVHOJ0fzFL,,,,,anonymous,EN,1,1,1,4,5,3,2,5,5,5,5,5,5,5,3,5,5,1,5,5,5,5,5,5,2,5,5,5,,,
0,100,1,01/12/2025 13:18,R_4ezMEGHk58RSY09,,,,,anonymous,EN,1,1,1,4,5,3,2,5,5,5,5,5,5,5,3,5,5,2,5,5,5,5,5,5,2,5,5,5,,,